SAMPID,region,sex
GTEX-131YS-0011-R9b-SM-5EQLY,Spinal Cord,Female
GTEX-131YS-3026-SM-5EGHY,Cerebellum,Female
GTEX-131YS-3126-SM-5KLYT,Cortex,Female
GTEX-132Q8-0011-R10b-SM-5DUWZ,Frontal Cortex,Male
GTEX-132Q8-0011-R11b-SM-5DUW9,Cerebellar Hemi.,Male
GTEX-132Q8-0011-R1a-SM-5EGLK,Hippocampus,Male
GTEX-132Q8-0011-R2b-SM-5EQ5Z,Substantia Nigra,Male
GTEX-132Q8-0011-R5a-SM-5IJDM,Caudate,Male
GTEX-132Q8-0011-R6a-SM-5K7YN,Nucleus Accumbens,Male
GTEX-132Q8-0011-R7b-SM-5N9F1,Putamen,Male
GTEX-132Q8-0011-R8b-SM-5DUWX,Hypothalamus,Male
GTEX-132Q8-2926-SM-5IFFP,Cerebellum,Male
GTEX-132Q8-3026-SM-5PNVG,Cortex,Male
GTEX-1399T-0011-R10b-SM-AHZ6E,Frontal Cortex,Male
GTEX-1399T-0011-R11a-SM-5J2O1,Cerebellar Hemi.,Male
GTEX-1399T-0011-R1b-SM-5DUWN,Hippocampus,Male
GTEX-1399T-0011-R2b-SM-5DUXM,Substantia Nigra,Male
GTEX-1399T-0011-R4b-SM-5DUVX,Amygdala,Male
GTEX-1399T-0011-R5b-SM-5IJDK,Caudate,Male
GTEX-1399T-0011-R6b-SM-5K7YL,Nucleus Accumbens,Male
GTEX-1399T-0011-R8b-SM-5IJD8,Hypothalamus,Male
GTEX-1399T-3026-SM-5KLZC,Cortex,Male
GTEX-1399T-3026-SM-CYKW1,Cortex,Male
GTEX-1399T-3126-SM-5IJFS,Cerebellum,Male
GTEX-139T4-0011-R9b-SM-5HL6S,Spinal Cord,Female
GTEX-139T8-0011-R1a-SM-5HL75,Hippocampus,Male
GTEX-139T8-0011-R3b-SM-5HL4R,Ant. Cing. Ctx,Male
GTEX-139T8-0011-R4a-SM-5HL54,Amygdala,Male
GTEX-139T8-0011-R5b-SM-5J1MO,Caudate,Male
GTEX-139T8-0926-SM-EZ6XP,Cerebellum,Male
GTEX-139T8-1026-SM-5J2MC,Cortex,Male
GTEX-139TS-0011-R10a-SM-5K7TU,Frontal Cortex,Male
GTEX-139TS-0011-R10a-SM-AHZ6H,Frontal Cortex,Male
GTEX-139TS-0011-R2b-SM-5J1MX,Substantia Nigra,Male
GTEX-139TS-0011-R5b-SM-5J2MZ,Caudate,Male
GTEX-139TS-0011-R6a-SM-5J2OB,Nucleus Accumbens,Male
GTEX-139TS-0011-R7a-SM-5K7X7,Putamen,Male
GTEX-139TS-0011-R8a-SM-5J1NP,Hypothalamus,Male
GTEX-139TS-3126-SM-5LZWX,Cerebellum,Male
GTEX-139TT-0011-R11b-SM-5LZV1,Cerebellar Hemi.,Male
GTEX-139TT-0011-R1a-SM-5LZVD,Hippocampus,Male
GTEX-139TT-0011-R3b-SM-5K7VL,Ant. Cing. Ctx,Male
GTEX-139TT-0011-R5b-SM-5K7W8,Caudate,Male
GTEX-139TT-0011-R6b-SM-5J2ON,Nucleus Accumbens,Male
GTEX-139TT-0011-R7b-SM-5J2MN,Putamen,Male
GTEX-139TT-2626-SM-5LZUB,Cerebellum,Male
GTEX-139TU-0011-R5b-SM-5L3E1,Caudate,Male
GTEX-139UC-0011-R11a-SM-5KM3J,Cerebellar Hemi.,Male
GTEX-139UC-0011-R3b-SM-5K7VZ,Ant. Cing. Ctx,Male
GTEX-139UC-0011-R4a-SM-5K7XM,Amygdala,Male
GTEX-139UC-0011-R5b-SM-5K7VY,Caudate,Male
GTEX-139UC-0011-R6b-SM-5K7Z1,Nucleus Accumbens,Male
GTEX-139UC-0011-R7a-SM-5IJCV,Putamen,Male
GTEX-139UC-0011-R8b-SM-5IJCL,Hypothalamus,Male
GTEX-139UC-0011-R9a-SM-5K7W7,Spinal Cord,Male
GTEX-139UC-3126-SM-5J1OY,Cortex,Male
GTEX-139UC-3226-SM-5N9EZ,Cerebellum,Male
GTEX-139UW-0011-R11a-SM-5IJGN,Cerebellar Hemi.,Male
GTEX-139UW-0011-R9b-SM-5LZYT,Spinal Cord,Male
GTEX-13CF2-0011-R11b-SM-5LZXO,Cerebellar Hemi.,Male
GTEX-13CF2-0011-R1a-SM-5LZY1,Hippocampus,Male
GTEX-13CF2-0011-R2a-SM-5L3DC,Substantia Nigra,Male
GTEX-13CF2-0011-R3b-SM-5LZZ6,Ant. Cing. Ctx,Male
GTEX-13CF2-0011-R5a-SM-5LZWS,Caudate,Male
GTEX-13CF2-0011-R7b-SM-5K7UV,Putamen,Male
GTEX-13CF2-0011-R8b-SM-5IJCX,Hypothalamus,Male
GTEX-13CF2-3026-SM-5IFFX,Cerebellum,Male
GTEX-13CIG-0011-R3b-SM-5K7XF,Ant. Cing. Ctx,Male
GTEX-13CIG-0011-R5b-SM-5L3F2,Caudate,Male
GTEX-13CIG-0011-R8b-SM-5LZX5,Hypothalamus,Male
GTEX-13CIG-0011-R9a-SM-5K7VU,Spinal Cord,Male
GTEX-13CZV-0011-R10b-SM-5LZYD,Frontal Cortex,Male
GTEX-13CZV-0011-R10b-SM-CYKS6,Frontal Cortex,Male
GTEX-13CZV-0011-R11b-SM-5N9FN,Cerebellar Hemi.,Male
GTEX-13CZV-0011-R3a-SM-5KM27,Ant. Cing. Ctx,Male
GTEX-13CZV-0011-R4b-SM-5J2NY,Amygdala,Male
GTEX-13CZV-0011-R5a-SM-5K7XA,Caudate,Male
GTEX-13CZV-0011-R7b-SM-5LZXH,Putamen,Male
GTEX-13CZV-0011-R9a-SM-5LZXT,Spinal Cord,Male
GTEX-13FHO-0011-R10a-SM-AHZMN,Frontal Cortex,Male
GTEX-13FHO-0011-R10b-SM-5J2MM,Frontal Cortex,Male
GTEX-13FHO-0011-R10b-SM-CYKPF,Frontal Cortex,Male
GTEX-13FHO-0011-R11b-SM-5LZYQ,Cerebellar Hemi.,Male
GTEX-13FHO-0011-R1b-SM-5KLZG,Hippocampus,Male
GTEX-13FHO-0011-R3b-SM-5K7YA,Ant. Cing. Ctx,Male
GTEX-13FHO-0011-R5b-SM-5LZZ3,Caudate,Male
GTEX-13FHO-0011-R6b-SM-5LZX1,Nucleus Accumbens,Male
GTEX-13FHO-0011-R7b-SM-5LZXD,Putamen,Male
GTEX-13FHO-2926-SM-5L3ES,Cerebellum,Male
GTEX-13FHO-3026-SM-5J1O9,Cortex,Male
GTEX-13FHP-0011-R10a-SM-AHZMM,Frontal Cortex,Male
GTEX-13FHP-0011-R11b-SM-5LZXP,Cerebellar Hemi.,Male
GTEX-13FHP-0011-R1b-SM-5K7XL,Hippocampus,Male
GTEX-13FHP-0011-R5b-SM-5LZY2,Caudate,Male
GTEX-13FHP-0011-R6b-SM-5LZY6,Nucleus Accumbens,Male
GTEX-13FHP-0011-R7b-SM-5LZYI,Putamen,Male
GTEX-13FHP-2926-SM-5IJG9,Cerebellum,Male
GTEX-13FHP-3026-SM-5IJBS,Cortex,Male
GTEX-13FLV-0011-R10b-SM-5LZZ2,Frontal Cortex,Male
GTEX-13FLV-0011-R10b-SM-AHZ6K,Frontal Cortex,Male
GTEX-13FLV-0011-R10b-SM-CYKS9,Frontal Cortex,Male
GTEX-13FLV-0011-R11a-SM-5LZZ7,Cerebellar Hemi.,Male
GTEX-13FLV-0011-R3b-SM-5LZYP,Ant. Cing. Ctx,Male
GTEX-13FLV-0011-R4a-SM-5LZYU,Amygdala,Male
GTEX-13FLV-0011-R5a-SM-5LZWT,Caudate,Male
GTEX-13FLV-0011-R6a-SM-5KLZ4,Nucleus Accumbens,Male
GTEX-13FLV-0011-R7b-SM-5K7WW,Putamen,Male
GTEX-13FLV-0011-R8a-SM-5LZZE,Hypothalamus,Male
GTEX-13FLV-0011-R9b-SM-5L3DA,Spinal Cord,Male
GTEX-13FLW-0011-R10b-SM-5LZZF,Frontal Cortex,Male
GTEX-13FLW-0011-R10b-SM-AHZ6I,Frontal Cortex,Male
GTEX-13FLW-0011-R1b-SM-5LZX2,Hippocampus,Male
GTEX-13FLW-0011-R5a-SM-5LZX6,Caudate,Male
GTEX-13FLW-0011-R6b-SM-5L3EN,Nucleus Accumbens,Male
GTEX-13FLW-0011-R7b-SM-5L3EZ,Putamen,Male
GTEX-13FLW-0011-R8b-SM-5J1MZ,Hypothalamus,Male
GTEX-13FLW-1426-SM-5K7YE,Cortex,Male
GTEX-13FLW-1426-SM-CYKSG,Cortex,Male
GTEX-13FTY-0011-R11a-SM-5IJEA,Cerebellar Hemi.,Female
GTEX-13FTY-0011-R1a-SM-5LZXE,Hippocampus,Female
GTEX-13FTY-0011-R9b-SM-5KM2U,Spinal Cord,Female
GTEX-13FTZ-0011-R10a-SM-AHZ6S,Frontal Cortex,Male
GTEX-13FTZ-0011-R10b-SM-5KLZS,Frontal Cortex,Male
GTEX-13FTZ-0011-R10b-SM-CYKOZ,Frontal Cortex,Male
GTEX-13FXS-0011-R10a-SM-5J2MA,Frontal Cortex,Male
GTEX-13FXS-0011-R10a-SM-AHZ6T,Frontal Cortex,Male
GTEX-13FXS-0011-R11a-SM-5L3DM,Cerebellar Hemi.,Male
GTEX-13FXS-0011-R1a-SM-5K7U6,Hippocampus,Male
GTEX-13FXS-0011-R2b-SM-5K7XX,Substantia Nigra,Male
GTEX-13FXS-0011-R5b-SM-5LZYE,Caudate,Male
GTEX-13FXS-0011-R6b-SM-5L3F7,Nucleus Accumbens,Male
GTEX-13FXS-0011-R7a-SM-5L3FC,Putamen,Male
GTEX-13FXS-0011-R8a-SM-5J1MN,Hypothalamus,Male
GTEX-13FXS-0011-R9a-SM-5K7UI,Spinal Cord,Male
GTEX-13FXS-3026-SM-5LZYO,Cerebellum,Male
GTEX-13FXS-3126-SM-5J2NN,Cortex,Male
GTEX-13FXS-3126-SM-CYKQ2,Cortex,Male
GTEX-13G51-0011-R10a-SM-AHZ6X,Frontal Cortex,Male
GTEX-13G51-0011-R10b-SM-5LZYF,Frontal Cortex,Male
GTEX-13G51-0011-R10b-SM-CYKS7,Frontal Cortex,Male
GTEX-13G51-0011-R11b-SM-5J2NE,Cerebellar Hemi.,Male
GTEX-13G51-0011-R1a-SM-5LZYR,Hippocampus,Male
GTEX-13G51-0011-R2b-SM-5LZXS,Substantia Nigra,Male
GTEX-13G51-0011-R5a-SM-5L3EB,Caudate,Male
GTEX-13G51-0011-R6b-SM-5LZX4,Nucleus Accumbens,Male
GTEX-13G51-0011-R7b-SM-5LZXG,Putamen,Male
GTEX-13G51-0011-R8b-SM-5LZZ4,Hypothalamus,Male
GTEX-13G51-3026-SM-5IJB8,Cortex,Male
GTEX-13G51-3126-SM-5IJG7,Cerebellum,Male
GTEX-13IVO-0011-R10a-SM-5LZY3,Frontal Cortex,Male
GTEX-13IVO-0011-R10a-SM-AHZMS,Frontal Cortex,Male
GTEX-13IVO-0011-R11b-SM-5LZXQ,Cerebellar Hemi.,Male
GTEX-13IVO-0011-R3b-SM-5IJBJ,Ant. Cing. Ctx,Male
GTEX-13IVO-0011-R5a-SM-5L3CY,Caudate,Male
GTEX-13IVO-0011-R6b-SM-5K7X9,Nucleus Accumbens,Male
GTEX-13IVO-0011-R8a-SM-5L3DY,Hypothalamus,Male
GTEX-13IVO-2926-SM-5L3CZ,Cortex,Male
GTEX-13JUV-0011-R10a-SM-AHZ6O,Frontal Cortex,Female
GTEX-13JUV-0011-R10b-SM-5LZXR,Frontal Cortex,Female
GTEX-13JUV-0011-R11a-SM-5LZYH,Cerebellar Hemi.,Female
GTEX-13JUV-0011-R1a-SM-5LZY4,Hippocampus,Female
GTEX-13JUV-0011-R5a-SM-5LZY5,Caudate,Female
GTEX-13JUV-0011-R6b-SM-5LZYG,Nucleus Accumbens,Female
GTEX-13JUV-0011-R7b-SM-5LZZG,Putamen,Female
GTEX-13JUV-0011-R9a-SM-5LZX3,Spinal Cord,Female
GTEX-13JUV-2926-SM-5LZX7,Cortex,Female
GTEX-13JUV-3026-SM-5K7WX,Cerebellum,Female
GTEX-13JVG-0011-R10b-SM-5KM2P,Frontal Cortex,Male
GTEX-13JVG-0011-R11a-SM-5KM53,Cerebellar Hemi.,Male
GTEX-13JVG-0011-R1a-SM-5KM32,Hippocampus,Male
GTEX-13JVG-0011-R3b-SM-5LZXF,Ant. Cing. Ctx,Male
GTEX-13JVG-0011-R4a-SM-5MR4C,Amygdala,Male
GTEX-13JVG-0011-R5a-SM-5MR4O,Caudate,Male
GTEX-13JVG-0011-R6a-SM-5MR3E,Nucleus Accumbens,Male
GTEX-13JVG-0011-R7b-SM-5MR3Q,Putamen,Male
GTEX-13JVG-0011-R8a-SM-5KM3E,Hypothalamus,Male
GTEX-13JVG-3126-SM-5L3FH,Cortex,Male
GTEX-13JVG-3226-SM-5IJGJ,Cerebellum,Male
GTEX-13N1W-0011-R10b-SM-5MR4H,Frontal Cortex,Male
GTEX-13N1W-0011-R11a-SM-5MR3D,Cerebellar Hemi.,Male
GTEX-13N1W-0011-R1b-SM-5MR4T,Hippocampus,Male
GTEX-13N1W-0011-R3a-SM-5MR5E,Ant. Cing. Ctx,Male
GTEX-13N1W-0011-R4a-SM-5MR52,Amygdala,Male
GTEX-13N1W-0011-R5b-SM-5MR5Q,Caudate,Male
GTEX-13N1W-0011-R6a-SM-5MR43,Nucleus Accumbens,Male
GTEX-13N1W-0011-R7b-SM-5MR4F,Putamen,Male
GTEX-13N1W-0011-R8a-SM-5MR56,Hypothalamus,Male
GTEX-13N1W-0011-R9b-SM-5MR4R,Spinal Cord,Male
GTEX-13N2G-0011-R10a-SM-4RGKC-S7,Frontal Cortex,Male
GTEX-13N2G-0011-R10a-SM-4RGKC-S8,Frontal Cortex,Male
GTEX-13N2G-0011-R10a-SM-4RGKC-hCe,Frontal Cortex,Male
GTEX-13N2G-0011-R10a-SM-4RGKC-hCf,Frontal Cortex,Male
GTEX-13N2G-0011-R10a-SM-4RGKC-humanPFCa,Frontal Cortex,Male
GTEX-13N2G-0011-R10a-SM-4RGKC-humanPFCb,Frontal Cortex,Male
GTEX-13N2G-0011-R10a-SM-5MR34,Frontal Cortex,Male
GTEX-13N2G-0011-R10a-SM-AHZ6N,Frontal Cortex,Male
GTEX-13N2G-0011-R11a-SM-5MR3F,Cerebellar Hemi.,Male
GTEX-13N2G-0011-R1b-SM-4RGJU-hHP1,Hippocampus,Male
GTEX-13N2G-0011-R1b-SM-4RGJU-hHP2,Hippocampus,Male
GTEX-13N2G-0011-R1b-SM-5MR3G,Hippocampus,Male
GTEX-13N2G-0011-R2a-SM-5MR4Q,Substantia Nigra,Male
GTEX-13N2G-0011-R3b-SM-5MR5G,Ant. Cing. Ctx,Male
GTEX-13N2G-0011-R4b-SM-5MR54,Amygdala,Male
GTEX-13N2G-0011-R5a-SM-5MR33,Caudate,Male
GTEX-13N2G-0011-R6b-SM-5MR3P,Nucleus Accumbens,Male
GTEX-13N2G-0011-R7a-SM-5MR42,Putamen,Male
GTEX-13N2G-0011-R9b-SM-5MR4E,Spinal Cord,Male
GTEX-13N2G-3026-SM-CYKVX,Cortex,Male
GTEX-13N2G-3126-SM-5IJGL,Cerebellum,Male
GTEX-13NYB-0011-R10a-SM-5KM43,Frontal Cortex,Male
GTEX-13NYB-0011-R11a-SM-5KM3Q,Cerebellar Hemi.,Male
GTEX-13NYB-0011-R1b-SM-5KM4F,Hippocampus,Male
GTEX-13NYB-0011-R2a-SM-5MR3C,Substantia Nigra,Male
GTEX-13NYB-0011-R3b-SM-A9SM4,Ant. Cing. Ctx,Male
GTEX-13NYB-0011-R4b-SM-9QEGJ,Amygdala,Male
GTEX-13NYB-0011-R5a-SM-5MR45,Caudate,Male
GTEX-13NYB-0011-R6b-SM-5MR51,Nucleus Accumbens,Male
GTEX-13NYB-0011-R7a-SM-5MR5D,Putamen,Male
GTEX-13NYB-0011-R8a-SM-5KM4R,Hypothalamus,Male
GTEX-13NYB-0011-R9b-SM-5MR5P,Spinal Cord,Male
GTEX-13NYB-3026-SM-5IJD7,Cortex,Male
GTEX-13NYB-3226-SM-5J2ND,Cerebellum,Male
GTEX-13NYC-2826-SM-5K7WR,Cortex,Male
GTEX-13NYS-0011-R10a-SM-5MR4S,Frontal Cortex,Male
GTEX-13NYS-0011-R10a-SM-AHZ6V,Frontal Cortex,Male
GTEX-13NYS-0011-R11b-SM-5MR4P,Cerebellar Hemi.,Male
GTEX-13NYS-0011-R1b-SM-5MR55,Hippocampus,Male
GTEX-13NYS-0011-R2b-SM-5MR4G,Substantia Nigra,Male
GTEX-13NYS-0011-R3b-SM-5MR41,Ant. Cing. Ctx,Male
GTEX-13NYS-0011-R4b-SM-5MR3O,Amygdala,Male
GTEX-13NYS-0011-R5a-SM-5MR4D,Caudate,Male
GTEX-13NYS-0011-R6b-SM-5MR3R,Nucleus Accumbens,Male
GTEX-13NYS-0011-R8a-SM-5MR5H,Hypothalamus,Male
GTEX-13NYS-0011-R9b-SM-5MR44,Spinal Cord,Male
GTEX-13NYS-3126-SM-5KLYV,Cortex,Male
GTEX-13NYS-3126-SM-CYKVR,Cortex,Male
GTEX-13NZ8-0011-R1b-SM-5KM3V,Hippocampus,Female
GTEX-13NZ8-0011-R8b-SM-5KM48,Hypothalamus,Female
GTEX-13NZ8-3026-SM-5L3D4,Cerebellum,Female
GTEX-13NZA-0011-R10a-SM-AHZ6W,Frontal Cortex,Male
GTEX-13NZA-0011-R10b-SM-5KM54,Frontal Cortex,Male
GTEX-13NZA-0011-R10b-SM-CYKRC,Frontal Cortex,Male
GTEX-13NZA-0011-R11b-SM-5KM4W,Cerebellar Hemi.,Male
GTEX-13NZA-0011-R1b-SM-5LUAF,Hippocampus,Male
GTEX-13NZA-0011-R5b-SM-5KM4K,Caudate,Male
GTEX-13NZA-0011-R8b-SM-5KM2Q,Hypothalamus,Male
GTEX-13NZA-0011-R9b-SM-5MR5I,Spinal Cord,Male
GTEX-13O1R-0011-R9b-SM-5KM33,Spinal Cord,Male
GTEX-13O3O-0011-R10a-SM-5LUA9,Frontal Cortex,Female
GTEX-13O3O-0011-R10a-SM-AHZMQ,Frontal Cortex,Female
GTEX-13O3O-0011-R11b-SM-5KM4G,Cerebellar Hemi.,Female
GTEX-13O3O-0011-R1b-SM-5KM2K,Hippocampus,Female
GTEX-13O3O-0011-R2b-SM-5P9H1,Substantia Nigra,Female
GTEX-13O3O-0011-R3b-SM-5KM3R,Ant. Cing. Ctx,Female
GTEX-13O3O-0011-R4b-SM-5KM3F,Amygdala,Female
GTEX-13O3O-0011-R5b-SM-5KM44,Caudate,Female
GTEX-13O3O-0011-R6b-SM-5P9GY,Nucleus Accumbens,Female
GTEX-13O3O-0011-R7b-SM-5P9GZ,Putamen,Female
GTEX-13O3O-0011-R8b-SM-5LUAL,Hypothalamus,Female
GTEX-13O3O-3026-SM-5KM42,Cerebellum,Female
GTEX-13O3O-3126-SM-5KM3H,Cortex,Female
GTEX-13O3O-3126-SM-CYKUY,Cortex,Female
GTEX-13O3Q-0011-R10a-SM-AHZ6Q,Frontal Cortex,Male
GTEX-13O3Q-0011-R10b-SM-5KM39,Frontal Cortex,Male
GTEX-13O3Q-0011-R11b-SM-5KM2W,Cerebellar Hemi.,Male
GTEX-13O3Q-0011-R1b-SM-4W9GN-hHP2a,Hippocampus,Male
GTEX-13O3Q-0011-R1b-SM-4W9GN-hHP2b,Hippocampus,Male
GTEX-13O3Q-0011-R1b-SM-4W9GN-hHP2c,Hippocampus,Male
GTEX-13O3Q-0011-R1b-SM-4W9GN-hHP3b,Hippocampus,Male
GTEX-13O3Q-0011-R1b-SM-5KM3L,Hippocampus,Male
GTEX-13O3Q-0011-R2b-SM-5KM3K,Substantia Nigra,Male
GTEX-13O3Q-0011-R3a-SM-5P9H3,Ant. Cing. Ctx,Male
GTEX-13O3Q-0011-R4a-SM-5P9H2,Amygdala,Male
GTEX-13O3Q-0011-R5b-SM-5P9H4,Caudate,Male
GTEX-13O3Q-0011-R6a-SM-5KM2V,Nucleus Accumbens,Male
GTEX-13O3Q-0011-R7a-SM-5KM38,Putamen,Male
GTEX-13O3Q-0011-R8b-SM-5KM2J,Hypothalamus,Male
GTEX-13O3Q-2926-SM-5KM45,Cortex,Male
GTEX-13O3Q-2926-SM-CYKRS,Cortex,Male
GTEX-13O3Q-3026-SM-5IJGD,Cerebellum,Male
GTEX-13OVH-0011-R10a-SM-AHZMU,Frontal Cortex,Male
GTEX-13OVH-0011-R11b-SM-5KM4X,Cerebellar Hemi.,Male
GTEX-13OVH-0011-R3a-SM-5KM49,Ant. Cing. Ctx,Male
GTEX-13OVH-0011-R4a-SM-5KM3W,Amygdala,Male
GTEX-13OVH-0011-R5b-SM-5KM4L,Caudate,Male
GTEX-13OVH-0011-R6b-SM-5LUAX,Nucleus Accumbens,Male
GTEX-13OVH-0011-R8b-SM-5MR35,Hypothalamus,Male
GTEX-13OVH-2926-SM-5IJFH,Cerebellum,Male
GTEX-13OVH-3026-SM-5MR4N,Cortex,Male
GTEX-13OVH-3026-SM-CYKS1,Cortex,Male
GTEX-13OVJ-0011-R10b-SM-5L3HT,Frontal Cortex,Female
GTEX-13OVJ-0011-R11a-SM-5P9H8,Cerebellar Hemi.,Female
GTEX-13OVJ-0011-R1b-SM-5L3I6,Hippocampus,Female
GTEX-13OVJ-0011-R2b-SM-5L3GP,Substantia Nigra,Female
GTEX-13OVJ-0011-R3b-SM-5P9H6,Ant. Cing. Ctx,Female
GTEX-13OVJ-0011-R4b-SM-5P9H5,Amygdala,Female
GTEX-13OVJ-0011-R5a-SM-5P9H7,Caudate,Female
GTEX-13OVJ-0011-R6b-SM-5L3GH,Nucleus Accumbens,Female
GTEX-13OVJ-0011-R7a-SM-5L3G1,Putamen,Female
GTEX-13OVJ-0011-R8b-SM-5L3FS,Hypothalamus,Female
GTEX-13OVJ-0011-R9b-SM-5L3GD,Spinal Cord,Female
GTEX-13OVJ-2726-SM-5IJG6,Cerebellum,Female
GTEX-13OVJ-2826-SM-5L3GW,Cortex,Female
GTEX-13OVL-0011-R10a-SM-5L3GS,Frontal Cortex,Male
GTEX-13OVL-0011-R11b-SM-5L3G7,Cerebellar Hemi.,Male
GTEX-13OVL-0011-R1a-SM-5L3H5,Hippocampus,Male
GTEX-13OVL-0011-R3b-SM-5L3I8,Ant. Cing. Ctx,Male
GTEX-13OVL-0011-R4b-SM-5L3HV,Amygdala,Male
GTEX-13OVL-0011-R5b-SM-5L3FU,Caudate,Male
GTEX-13OVL-0011-R6a-SM-5L3G4,Nucleus Accumbens,Male
GTEX-13OVL-0011-R7a-SM-5P9GW,Putamen,Male
GTEX-13OVL-0011-R8a-SM-5L3HH,Hypothalamus,Male
GTEX-13OVL-0011-R9a-SM-5P9GX,Spinal Cord,Male
GTEX-13OVL-3026-SM-5IJF1,Cerebellum,Male
GTEX-13OW5-0011-R11b-SM-5L3GG,Cerebellar Hemi.,Male
GTEX-13OW5-0011-R1b-SM-5L3GE,Hippocampus,Male
GTEX-13OW5-0011-R3a-SM-5L3I5,Ant. Cing. Ctx,Male
GTEX-13OW5-0011-R4b-SM-5L3HS,Amygdala,Male
GTEX-13OW5-0011-R5b-SM-5L3FR,Caudate,Male
GTEX-13OW5-0011-R6b-SM-5O9BW,Nucleus Accumbens,Male
GTEX-13OW5-0011-R7a-SM-5O9C9,Putamen,Male
GTEX-13OW5-0011-R8a-SM-5L3GQ,Hypothalamus,Male
GTEX-13OW5-0011-R9b-SM-5O9CL,Spinal Cord,Male
GTEX-13OW5-3126-SM-5MR3Y,Cerebellum,Male
GTEX-13OW6-0011-R10a-SM-5L3HE,Frontal Cortex,Male
GTEX-13OW6-0011-R11a-SM-5L3H2,Cerebellar Hemi.,Male
GTEX-13OW6-0011-R1a-SM-5L3HQ,Hippocampus,Male
GTEX-13OW6-0011-R1a-SM-DG7EP-HP2_A,Hippocampus,Male
GTEX-13OW6-0011-R1a-SM-DG7EP-HP2_B,Hippocampus,Male
GTEX-13OW6-0011-R2a-SM-5L3HG,Substantia Nigra,Male
GTEX-13OW6-0011-R4a-SM-5O9DX,Amygdala,Male
GTEX-13OW6-0011-R5a-SM-5O9BK,Caudate,Male
GTEX-13OW6-0011-R6b-SM-5L3GR,Nucleus Accumbens,Male
GTEX-13OW6-0011-R7b-SM-5L3H4,Putamen,Male
GTEX-13OW6-0011-R8a-SM-5L3GF,Hypothalamus,Male
GTEX-13OW6-2926-SM-5KM29,Cerebellum,Male
GTEX-13OW6-3026-SM-5J2MI,Cortex,Male
GTEX-13OW7-0011-R10a-SM-5L3H3,Frontal Cortex,Male
GTEX-13OW7-0011-R10a-SM-AHZN6,Frontal Cortex,Male
GTEX-13OW7-0011-R10a-SM-CYKQU,Frontal Cortex,Male
GTEX-13OW7-0011-R11a-SM-5O9DY,Cerebellar Hemi.,Male
GTEX-13OW7-0011-R1b-SM-5L3HF,Hippocampus,Male
GTEX-13OW7-0011-R3a-SM-5O9DA,Ant. Cing. Ctx,Male
GTEX-13OW7-0011-R4b-SM-5O9CX,Amygdala,Male
GTEX-13OW7-0011-R5b-SM-5O9DM,Caudate,Male
GTEX-13OW7-0011-R8b-SM-5L3HR,Hypothalamus,Male
GTEX-13OW7-2926-SM-5MR3Z,Cerebellum,Male
GTEX-13OW7-3026-SM-5L3GY,Cortex,Male
GTEX-13OW8-0011-R10a-SM-5L3H6,Frontal Cortex,Male
GTEX-13OW8-0011-R11a-SM-5L3GT,Cerebellar Hemi.,Male
GTEX-13OW8-0011-R1a-SM-5L3HI,Hippocampus,Male
GTEX-13OW8-0011-R2a-SM-5L3G2,Substantia Nigra,Male
GTEX-13OW8-0011-R3a-SM-5L3I4,Ant. Cing. Ctx,Male
GTEX-13OW8-0011-R4a-SM-9WG6V,Amygdala,Male
GTEX-13OW8-0011-R5b-SM-5L3FQ,Caudate,Male
GTEX-13OW8-0011-R6b-SM-5L3I3,Nucleus Accumbens,Male
GTEX-13OW8-0011-R7a-SM-5L3FP,Putamen,Male
GTEX-13OW8-0011-R8a-SM-5L3G5,Hypothalamus,Male
GTEX-13OW8-2826-SM-5L3GC,Cortex,Male
GTEX-13OW8-2926-SM-5L3FV,Cerebellum,Male
GTEX-13PDP-0011-R1a-SM-5PNX5,Hippocampus,Male
GTEX-13PDP-0011-R2b-SM-5O9DH,Substantia Nigra,Male
GTEX-13PDP-0011-R6b-SM-5O9D5,Nucleus Accumbens,Male
GTEX-13PDP-0011-R8b-SM-5O9CS,Hypothalamus,Male
GTEX-13PDP-2926-SM-5N9E8,Cerebellum,Male
GTEX-13PL6-0011-R5b-SM-5O9BI,Caudate,Female
GTEX-13PL6-0011-R6a-SM-5O9C5,Nucleus Accumbens,Female
GTEX-13PL6-0011-R9b-SM-5O9CH,Spinal Cord,Female
GTEX-13PL6-3126-SM-5LUAR,Cortex,Female
GTEX-13PLJ-0011-R11b-SM-5O9BS,Cerebellar Hemi.,Female
GTEX-13PLJ-0011-R3a-SM-5O9DT,Ant. Cing. Ctx,Female
GTEX-13PLJ-0011-R5a-SM-5O9BG,Caudate,Female
GTEX-13PLJ-0011-R9b-SM-5O9DV,Spinal Cord,Female
GTEX-13PVQ-0011-R11a-SM-5O9DU,Cerebellar Hemi.,Male
GTEX-13PVQ-0011-R3b-SM-5O9D6,Ant. Cing. Ctx,Male
GTEX-13PVQ-0011-R4a-SM-5O9CT,Amygdala,Male
GTEX-13PVQ-0011-R5b-SM-5O9DI,Caudate,Male
GTEX-13PVQ-0011-R7a-SM-5L3G3,Putamen,Male
GTEX-13PVQ-0011-R9b-SM-5LU3B,Spinal Cord,Male
GTEX-13PVQ-2926-SM-5L3HJ,Cerebellum,Male
GTEX-13PVQ-3026-SM-5SI93,Cortex,Male
GTEX-13QIC-0011-R10a-SM-5O9C7,Frontal Cortex,Female
