SAMPID,region,sex
GTEX-11GSP-0011-R6b-SM-57WBQ,Nucleus Accumbens,Female
GTEX-11GSP-0011-R7b-SM-57WC3,Putamen,Female
GTEX-11GSP-0011-R8b-SM-5NQ79,Hypothalamus,Female
GTEX-11GSP-0011-R9b-SM-5NQ77,Spinal Cord,Female
GTEX-11GSP-3126-SM-5A5LL,Cerebellum,Female
GTEX-11GSP-3226-SM-5986O,Cortex,Female
GTEX-11H98-0011-R10b-SM-5NQ98,Frontal Cortex,Male
GTEX-11H98-0011-R11b-SM-5NQ6U,Cerebellar Hemi.,Male
GTEX-11H98-0011-R5b-SM-57WCF,Caudate,Male
GTEX-11H98-0011-R8a-SM-5NQ8V,Hypothalamus,Male
GTEX-11NUK-0011-R4a-SM-DO12B,Amygdala,Male
GTEX-11NUK-0011-R5a-SM-DO93N,Caudate,Male
GTEX-11NUK-0011-R6a-SM-DO93O,Nucleus Accumbens,Male
GTEX-11NUK-0011-R7a-SM-DO93P,Putamen,Male
GTEX-11NUK-2926-SM-5A5MD,Cortex,Male
GTEX-11NUK-3026-SM-5986K,Cerebellum,Male
GTEX-11NV4-0011-R5a-SM-5NQ88,Caudate,Male
GTEX-11NV4-0011-R6a-SM-57WD5,Nucleus Accumbens,Male
GTEX-11NV4-0011-R7a-SM-57WDH,Putamen,Male
GTEX-11NV4-2126-SM-5N9DS,Cortex,Male
GTEX-11NV4-2226-SM-5BC4T,Cerebellum,Male
GTEX-11O72-0011-R5a-SM-DO922,Caudate,Male
GTEX-11O72-0011-R6a-SM-DNZZQ,Nucleus Accumbens,Male
GTEX-11O72-2826-SM-5HL6W,Cerebellum,Male
GTEX-11O72-2926-SM-5BC4V,Cortex,Male
GTEX-11OC5-0626-SM-5HL6M,Cerebellum,Male
GTEX-11OC5-0726-SM-5P9JK,Cortex,Male
GTEX-11OF3-0011-R11a-SM-57WCR,Cerebellar Hemi.,Male
GTEX-11OF3-0011-R5a-SM-57WB4,Caudate,Male
GTEX-11OF3-0011-R6b-SM-57WBG,Nucleus Accumbens,Male
GTEX-11OF3-0011-R7a-SM-57WCG,Putamen,Male
GTEX-11OF3-0011-R8b-SM-57WCS,Hypothalamus,Male
GTEX-11OF3-2926-SM-5HL78,Cortex,Male
GTEX-11OF3-3126-SM-5GU5E,Cerebellum,Male
GTEX-11ONC-0011-R1a-SM-57WD4,Hippocampus,Male
GTEX-11ONC-0011-R4b-SM-DO93H,Amygdala,Male
GTEX-11ONC-0011-R5b-SM-DO93I,Caudate,Male
GTEX-11ONC-0011-R6a-SM-DO12A,Nucleus Accumbens,Male
GTEX-11ONC-0011-R7b-SM-DO93J,Putamen,Male
GTEX-11ONC-0011-R8b-SM-5NQ87,Hypothalamus,Male
GTEX-11ONC-0011-R9b-SM-5NQ8J,Spinal Cord,Male
GTEX-11ONC-2926-SM-5P9JM,Cortex,Male
GTEX-11ONC-3026-SM-5985W,Cerebellum,Male
GTEX-11PRG-0011-R10a-SM-AHZML,Frontal Cortex,Male
GTEX-11PRG-0011-R10b-SM-CYKQG,Frontal Cortex,Male
GTEX-11PRG-0011-R10b-SM-DO93G,Frontal Cortex,Male
GTEX-11PRG-0011-R11b-SM-DNZZY,Cerebellar Hemi.,Male
GTEX-11PRG-0011-R2a-SM-69LQ5,Substantia Nigra,Male
GTEX-11PRG-0011-R4a-SM-DNZZR,Amygdala,Male
GTEX-11PRG-0011-R5b-SM-DNZZS,Caudate,Male
GTEX-11PRG-0011-R6b-SM-DO923,Nucleus Accumbens,Male
GTEX-11PRG-0011-R7a-SM-DNZZT,Putamen,Male
GTEX-11PRG-2826-SM-5BC54,Cerebellum,Male
GTEX-11PRG-2926-SM-5987A,Cortex,Male
GTEX-11TTK-0011-R10b-SM-DO925,Frontal Cortex,Female
GTEX-11TTK-0011-R11b-SM-DO112,Cerebellar Hemi.,Female
GTEX-11TTK-0011-R4a-SM-DNZZU,Amygdala,Female
GTEX-11TTK-0011-R5a-SM-DNZZV,Caudate,Female
GTEX-11TTK-0011-R6b-SM-DNZZW,Nucleus Accumbens,Female
GTEX-11TTK-0011-R7b-SM-DNZZZ,Putamen,Female
GTEX-11TTK-0011-R8b-SM-DO111,Hypothalamus,Female
GTEX-11TTK-2826-SM-5GU5K,Cerebellum,Female
GTEX-11TTK-2926-SM-5PNYP,Cortex,Female
GTEX-11TUW-0011-R10a-SM-DO924,Frontal Cortex,Male
GTEX-11TUW-0011-R11b-SM-DNZZX,Cerebellar Hemi.,Male
GTEX-11TUW-0011-R1a-SM-DO92S,Hippocampus,Male
GTEX-11TUW-0011-R2b-SM-DO92T,Substantia Nigra,Male
GTEX-11TUW-0011-R3a-SM-DO92U,Ant. Cing. Ctx,Male
GTEX-11TUW-0011-R5b-SM-5BC6Q,Caudate,Male
GTEX-11TUW-3126-SM-5GU4Y,Cortex,Male
GTEX-11UD1-0011-R1b-SM-5BC7D,Hippocampus,Female
GTEX-11UD1-0011-R2b-SM-5BC6O,Substantia Nigra,Female
GTEX-11UD1-0011-R3a-SM-5BC6S,Ant. Cing. Ctx,Female
GTEX-11UD1-0011-R5b-SM-5P9FP,Caudate,Female
GTEX-11UD2-0011-R9b-SM-DO926,Spinal Cord,Male
GTEX-11WQC-0011-R10a-SM-57WCT,Frontal Cortex,Male
GTEX-11WQC-0011-R10a-SM-AHZ6D,Frontal Cortex,Male
GTEX-11WQC-0011-R10a-SM-CYKQY,Frontal Cortex,Male
GTEX-11WQC-0011-R11b-SM-57WD6,Cerebellar Hemi.,Male
GTEX-11WQC-0011-R1b-SM-DO932,Hippocampus,Male
GTEX-11WQC-0011-R2a-SM-DO927,Substantia Nigra,Male
GTEX-11WQC-0011-R3a-SM-DO11T,Ant. Cing. Ctx,Male
GTEX-11WQC-0011-R5a-SM-5BC74,Caudate,Male
GTEX-11WQC-0011-R6a-SM-5BC77,Nucleus Accumbens,Male
GTEX-11WQC-0011-R7b-SM-5BC7A,Putamen,Male
GTEX-11WQC-0011-R8b-SM-57WCH,Hypothalamus,Male
GTEX-11WQK-0011-R10a-SM-5BC6R,Frontal Cortex,Male
GTEX-11WQK-0011-R10a-SM-AHZ6L,Frontal Cortex,Male
GTEX-11WQK-0011-R10a-SM-CYKOX,Frontal Cortex,Male
GTEX-11WQK-0011-R11a-SM-5BC6W,Cerebellar Hemi.,Male
GTEX-11WQK-0011-R3b-SM-DO93K,Ant. Cing. Ctx,Male
GTEX-11WQK-0011-R8a-SM-5BC7C,Hypothalamus,Male
GTEX-11WQK-0011-R9b-SM-5BC6N,Spinal Cord,Male
GTEX-11WQK-3026-SM-5EQL6,Cortex,Male
GTEX-11WQK-3126-SM-5EGI2,Cerebellum,Male
GTEX-11ZTS-0011-R10a-SM-DO93S,Frontal Cortex,Female
GTEX-11ZTS-0011-R11a-SM-DO113,Cerebellar Hemi.,Female
GTEX-11ZTS-0011-R1a-SM-5BC71,Hippocampus,Female
GTEX-11ZTS-0011-R2b-SM-5BC75,Substantia Nigra,Female
GTEX-11ZTS-0011-R3a-SM-5BC78,Ant. Cing. Ctx,Female
GTEX-11ZTS-0011-R8a-SM-57WDI,Hypothalamus,Female
GTEX-11ZTS-0011-R9b-SM-DO93Q,Spinal Cord,Female
GTEX-11ZTS-3226-SM-5EGID,Cerebellum,Female
GTEX-11ZU8-0011-R3a-SM-5BC6U,Ant. Cing. Ctx,Male
GTEX-11ZU8-0011-R4a-SM-5BC6Y,Amygdala,Male
GTEX-11ZUS-0011-R10a-SM-AHZMK,Frontal Cortex,Male
GTEX-11ZUS-0011-R10b-SM-5BC79,Frontal Cortex,Male
GTEX-11ZUS-0011-R10b-SM-CYKOY,Frontal Cortex,Male
GTEX-11ZUS-0011-R11b-SM-5BC7B,Cerebellar Hemi.,Male
GTEX-11ZUS-0011-R8a-SM-5BC73,Hypothalamus,Male
GTEX-11ZUS-0011-R9b-SM-5BC76,Spinal Cord,Male
GTEX-11ZUS-2826-SM-5EQKW,Cerebellum,Male
GTEX-11ZUS-2926-SM-5FQSL,Cortex,Male
GTEX-11ZVC-0011-R1b-SM-5BC6M,Hippocampus,Female
GTEX-11ZVC-0011-R3a-SM-5BC6V,Ant. Cing. Ctx,Female
GTEX-11ZVC-0011-R4a-SM-5BC6Z,Amygdala,Female
GTEX-11ZVC-0011-R9a-SM-57WC5,Spinal Cord,Female
GTEX-11ZVC-3026-SM-59HJM,Cerebellum,Female
GTEX-12126-0011-R10b-SM-5BC6T,Frontal Cortex,Male
GTEX-12126-0011-R11a-SM-5BC6X,Cerebellar Hemi.,Male
GTEX-12126-0011-R9b-SM-5BC6P,Spinal Cord,Male
GTEX-12126-0926-SM-5FQTW,Cerebellum,Male
GTEX-12126-1026-SM-5P9JJ,Cortex,Male
GTEX-12126-1026-SM-CYKSE,Cortex,Male
GTEX-1212Z-0011-R1b-SM-5BC72,Hippocampus,Male
GTEX-12584-0011-R6a-SM-5NQ7C,Nucleus Accumbens,Male
GTEX-12696-2926-SM-5FQTG,Cortex,Male
GTEX-12696-3026-SM-5FQTU,Cerebellum,Male
GTEX-1269C-0011-R4b-SM-5P9ES,Amygdala,Female
GTEX-1269C-3126-SM-5EGI6,Cerebellum,Female
GTEX-12WS9-0011-R10a-SM-57WBV,Frontal Cortex,Female
GTEX-12WS9-0011-R2a-SM-5CVNE,Substantia Nigra,Female
GTEX-12WS9-0011-R3a-SM-5CVNF,Ant. Cing. Ctx,Female
GTEX-12WS9-0011-R4b-SM-5P9EU,Amygdala,Female
GTEX-12WS9-0011-R5b-SM-5P9EV,Caudate,Female
GTEX-12WS9-0011-R6a-SM-5P9EW,Nucleus Accumbens,Female
GTEX-12WS9-2826-SM-5FQU9,Cerebellum,Female
GTEX-12WS9-2926-SM-5EGL8,Cortex,Female
GTEX-12WSA-0011-R10a-SM-AHZMV,Frontal Cortex,Male
GTEX-12WSA-0011-R10b-SM-5P9ET,Frontal Cortex,Male
GTEX-12WSA-0011-R10b-SM-CYKPQ,Frontal Cortex,Male
GTEX-12WSA-0011-R2a-SM-57WDK,Substantia Nigra,Male
GTEX-12WSA-0011-R4a-SM-57WB7,Amygdala,Male
GTEX-12WSA-0011-R5b-SM-5GU5I,Caudate,Male
GTEX-12WSA-0011-R7b-SM-5GU5U,Putamen,Male
GTEX-12WSA-0011-R8a-SM-5P9EX,Hypothalamus,Male
GTEX-12WSA-2926-SM-5EQ4D,Cortex,Male
GTEX-12WSB-0011-R11b-SM-57WBJ,Cerebellar Hemi.,Female
GTEX-12WSB-0011-R1b-SM-5P9EY,Hippocampus,Female
GTEX-12WSB-0011-R5b-SM-5GU67,Caudate,Female
GTEX-12WSB-0011-R6b-SM-5GU6J,Nucleus Accumbens,Female
GTEX-12WSB-0011-R7b-SM-5GU6V,Putamen,Female
GTEX-12WSB-3026-SM-59HKM,Cerebellum,Female
GTEX-12WSC-0011-R10a-SM-5GU57,Frontal Cortex,Male
GTEX-12WSC-0011-R11a-SM-5GU5J,Cerebellar Hemi.,Male
GTEX-12WSC-0011-R3a-SM-5P9F1,Ant. Cing. Ctx,Male
GTEX-12WSC-0011-R5b-SM-5CVNS,Caudate,Male
GTEX-12WSC-0011-R6b-SM-5LU99,Nucleus Accumbens,Male
GTEX-12WSC-0011-R7b-SM-5LU9L,Putamen,Male
GTEX-12WSC-0011-R9a-SM-5GU4U,Spinal Cord,Male
GTEX-12WSC-2926-SM-5BC5Z,Cerebellum,Male
GTEX-12WSC-3026-SM-5GCNF,Cortex,Male
GTEX-12WSD-0011-R10b-SM-5GU79,Frontal Cortex,Female
GTEX-12WSD-0011-R11a-SM-9OSVC,Cerebellar Hemi.,Female
GTEX-12WSD-0011-R1b-SM-5LZVY,Hippocampus,Female
GTEX-12WSD-0011-R2a-SM-5LZWB,Substantia Nigra,Female
GTEX-12WSD-0011-R3b-SM-5LZWN,Ant. Cing. Ctx,Female
GTEX-12WSD-0011-R4b-SM-5LZUA,Amygdala,Female
GTEX-12WSD-0011-R5b-SM-5CVNG,Caudate,Female
GTEX-12WSD-0011-R6b-SM-5P9JU,Nucleus Accumbens,Female
GTEX-12WSD-0011-R7b-SM-5PNWE,Putamen,Female
GTEX-12WSD-0011-R8b-SM-9QEGI,Hypothalamus,Female
GTEX-12WSD-0011-R9a-SM-5GU6W,Spinal Cord,Female
GTEX-12WSD-3026-SM-5LZU7,Cerebellum,Female
