gene,region,n_f,n_m,mean_md,ci_lo,ci_hi,ci_width,bimod,skewness,crosses_zero
NGF,Cortex,74,181,-0.008419878970664648,-0.13232795831344732,0.11437627737418428,0.2467042356876316,0.34241629558876424,0.0565839624344179,1
NGF,Caudate,63,183,-0.07901041131502537,-0.2158394748327393,0.06517231871646899,0.2810117935492083,0.34591768575858456,0.025503673315030475,1
NGF,Putamen,49,156,-0.02129138191971063,-0.16318329840473436,0.12059513065177595,0.2837784290565103,0.33894878642126747,0.03660677750217443,1
NGF,Nucleus Accumbens,64,182,0.08161497677900685,-0.055154643521362574,0.24309345740581495,0.2982481009271775,0.3404295429224381,0.2270514947640823,1
NGF,Cerebellum,67,174,0.075621314504504,-0.026449223804263112,0.1830238319073072,0.20947305571157032,0.3314469894344146,0.04327365262994123,1
NGF,Cerebellar Hemi.,58,157,0.10592960034661764,0.007821219632613514,0.21543258309902966,0.20761136346641615,0.34294491795695614,0.2792372257464547,0
NGF,Substantia Nigra,38,101,0.1053335456171512,-0.06463051985349091,0.28360236012006385,0.3482328799735548,0.35109120687334905,0.07550553185547462,1
NGF,Spinal Cord,57,102,-0.06736927179883341,-0.23588633266107464,0.1037009266760033,0.33958725933707795,0.340148520682849,-0.09502839434314642,1
KISS1,Hypothalamus,55,147,-0.3217299658706016,-0.7422309488103487,0.16303419310841707,0.9052651419187657,0.33745690652389615,0.2832732519158978,1
KISS1,Amygdala,45,107,-0.016718361280755083,-0.159069055800131,0.17243003702918894,0.33149909282931994,0.3885931636380008,0.5294221994566359,1
KISS1,Hippocampus,54,143,-0.07315030185840905,-0.1768496831148969,0.039599990137938065,0.21644967325283498,0.3341413253391548,0.19068565642093913,1
KISS1,Ant. Cing. Ctx,48,128,-0.08370672016086964,-0.225103066035568,0.08493340252190096,0.31003646855746897,0.36075323447202445,0.42481476281640934,1
KISS1,Frontal Cortex,56,153,0.0032437317150135485,-0.08702962558685336,0.09348057153039623,0.18051019711724958,0.3455530621150307,-0.0013749900720000832,1
KISS1,Cortex,74,181,-0.02473667057237821,-0.10228509329451915,0.06477036389308025,0.1670554571875994,0.356152735157534,0.22288075616440348,1
KISS1,Caudate,63,183,-0.19239565393158217,-0.3322824085799277,-0.04948249226290772,0.28279991631701995,0.33277664238801336,0.03847599251256257,0
KISS1,Putamen,49,156,-0.17260573450996897,-0.36367014760415173,0.022790072086282857,0.3864602196904346,0.31372191842337815,0.11600850354596685,1
KISS1,Nucleus Accumbens,64,182,-0.07122212197471639,-0.332127737222721,0.2838749936621826,0.6160027308849036,0.39350960070323127,0.5392317510953029,1
KISS1,Cerebellum,67,174,-0.1294182769099672,-0.2732584623862454,0.012916400145649855,0.2861748625318953,0.3349216189196234,-0.0002544263784235545,1
KISS1,Cerebellar Hemi.,58,157,-0.11373832521172461,-0.26748572405174886,0.034446191618193345,0.3019319156699422,0.338958015510615,-0.06347691984454412,1
KISS1,Substantia Nigra,38,101,0.024026516945787293,-0.052862283821428706,0.10337224630865698,0.15623453013008567,0.3634441685867412,0.0006005561476907407,1
KISS1,Spinal Cord,57,102,0.005411473733360886,-0.10591568804708981,0.11989369703926414,0.22580938508635395,0.32345507637489573,0.11256421021572245,1
AVPR1B,Hypothalamus,55,147,-0.004853797540421873,-0.03743290075192094,0.02771947418998188,0.06515237494190282,0.3477230588787827,0.025988743302331446,1
